station_id, latitude, longitude, country
15581,-999.0,-999.0,Indonesia
15582,-999.0,-999.0,Indonesia
15583,-999.0,-999.0,Indonesia
15584,-999.0,-999.0,Indonesia
15585,-999.0,-999.0,Indonesia
15586,-999.0,-999.0,Indonesia
15587,-999.0,-999.0,Indonesia
15588,-999.0,-999.0,Indonesia
15589,-999.0,-999.0,Indonesia
15590,-999.0,-999.0,Indonesia
15591,-999.0,-999.0,Indonesia
15592,-999.0,-999.0,Indonesia
15593,-999.0,-999.0,Indonesia
15594,-999.0,-999.0,Indonesia
15595,-999.0,-999.0,Indonesia
15596,-999.0,-999.0,Indonesia
15597,-999.0,-999.0,Indonesia
15598,-999.0,-999.0,Indonesia
15599,-999.0,-999.0,Indonesia
15600,-999.0,-999.0,Indonesia
15601,-999.0,-999.0,Indonesia
15603,-999.0,-999.0,Indonesia
15604,-999.0,-999.0,Indonesia
15606,-999.0,-999.0,Indonesia
15608,-999.0,-999.0,Indonesia
15609,-999.0,-999.0,Indonesia
15610,-999.0,-999.0,Indonesia
15611,-999.0,-999.0,Indonesia
15612,-999.0,-999.0,Indonesia
15613,-999.0,-999.0,Indonesia
15615,-999.0,-999.0,Indonesia
15617,-999.0,-999.0,Indonesia
15618,-999.0,-999.0,Indonesia
15629,26.5,53.98333,Iran
15644,27.96667,57.7,Iran
15658,30.1,55.13333,Iran
15664,30.43333,50.76667,Iran
15665,30.55,49.15,Iran
15671,30.83333,51.68333,Iran
15677,31.71667,48.0,Iran
15679,31.93333,49.28333,Iran
15681,32.26667,48.41667,Iran
15686,32.43333,50.11667,Iran
15688,32.66667,51.86667,Iran
15690,32.68333,47.26667,Iran
15692,32.96667,50.36667,Iran
15693,33.4,49.68333,Iran
15697,33.48333,48.36667,Iran
15703,33.78333,55.08333,Iran
15707,34.13333,46.43333,Iran
15713,34.45,45.86667,Iran
15714,34.5,48.0,Iran
15717,34.71667,46.66667,Iran
15722,35.2,52.26667,Iran
15732,35.7,51.33333,Iran
15733,35.75,51.88333,Iran
15735,35.78333,51.61667,Iran
15736,35.88333,47.61667,Iran
15737,35.91667,50.9,Iran
15738,36.06667,46.91667,Iran
15751,36.65,51.5,Iran
15755,36.76667,45.71667,Iran
15758,37.06667,58.5,Iran
15765,37.46667,57.31667,Iran
15773,38.41667,48.86667,Iran
15776,38.75,45.66667,Iran
15778,39.33333,44.43333,Iran
15780,39.65,47.91667,Iran
16089,42.45,12.21667,Italy
16766,49.63333,63.5,Kazakhstan
16838,53.28333,69.38333,Kazakhstan
17516,-13.78333,33.78333,Malawi
17532,1.63333,103.66667,Malaysia
17573,6.2,100.4,Malaysia
17587,-0.68333,72.98333,Maldives
17590,4.18333,73.51667,Maldives
18182,44.41667,105.31667,Mongolia
18191,45.45,103.9,Mongolia
18195,45.8,112.7,Mongolia
18245,48.66667,118.08333,Mongolia
18254,48.91667,106.73333,Mongolia
18269,49.63333,100.16667,Mongolia
18282,71.5,115.66667,Mongolia
18363,-25.05,33.63333,Mozambique
18376,-19.11667,32.46667,Mozambique
18711,6.58333,3.33333,Nigeria
19212,24.46667,56.63333,Oman
19223,24.9,67.13333,Pakistan
19445,-25.71667,-56.6,Paraguay
19472,-22.36667,-54.31667,Paraguay
22319,24.91667,46.71667,Saudi Arabia
23805,13.78333,102.03333,Thailand
23860,16.31667,103.58333,Thailand
24779,25.61667,55.93333,United Arab Emirates
25605,20.9,-156.21667,United States
43683,65.0,-150.65,United States
43975,43.15,64.33333,Uzbekistan
44039,7.58333,-72.06667,Venezuela
44072,10.48333,-66.83333,Venezuela
44077,10.51667,-71.65,Venezuela
86051,-49.35,70.25,[Missing]
86052,-25.06667,-130.1,[Missing]
86053,-25.06667,-130.1,[Missing]
86054,42.36667,19.25,[Missing]
86055,42.55,21.91667,[Missing]
86056,43.33333,21.9,[Missing]
86057,43.7,20.7,[Missing]
86058,44.75,21.51667,[Missing]
86059,44.8,20.46667,[Missing]
86060,-54.83333,-68.31667,Argentina
86061,-51.61667,-69.28333,Argentina
86062,-45.78333,-67.5,Argentina
86063,-40.85,-63.01667,Argentina
86064,-38.95,-68.13333,Argentina
86065,-37.93333,-57.58333,Argentina
86066,-36.56667,-64.26667,Argentina
86067,-34.81667,-58.53333,Argentina
86068,-34.58333,-58.48333,Argentina
86069,-34.56667,-58.41667,Argentina
86070,-34.48333,-58.61667,Argentina
86071,-33.26667,-66.35,Argentina
86072,-32.91667,-60.78333,Argentina
86073,-32.83333,-68.78333,Argentina
86074,-31.78333,-60.48333,Argentina
86075,-31.7,-60.81667,Argentina
86076,-31.4,-68.41667,Argentina
86077,-31.31667,-64.21667,Argentina
86078,-29.38333,-66.81667,Argentina
86079,-28.6,-65.76667,Argentina
86080,-27.76667,-64.3,Argentina
86081,-27.45,-59.05,Argentina
86082,-27.45,-58.76667,Argentina
86083,-27.36667,-55.96667,Argentina
86084,-26.85,-65.1,Argentina
86085,-26.2,-58.23333,Argentina
86086,-24.85,-65.48333,Argentina
86087,-24.38333,-65.08333,Argentina
86088,40.2,44.5,Armenia
86089,40.56667,45.0,Armenia
86090,40.78333,43.83333,Armenia
86091,-68.58333,77.96667,Australia
86092,-67.6,62.86667,Australia
86093,-66.28333,110.53333,Australia
86094,-54.5,158.95,Australia
86095,-43.48333,147.13333,Australia
86096,-42.98333,147.08333,Australia
86097,-42.83333,147.5,Australia
86098,-41.9,146.66667,Australia
86099,-41.53333,147.2,Australia
86100,-41.06667,146.78333,Australia
86101,-40.98333,148.35,Australia
86102,-40.68333,144.68333,Australia
86103,-39.13333,146.41667,Australia
86104,-38.86667,143.51667,Australia
86105,-38.43333,141.53333,Australia
86106,-38.11667,147.13333,Australia
86107,-37.86667,144.76667,Australia
86108,-37.75,140.76667,Australia
86109,-37.68333,144.83333,Australia
86110,-37.68333,148.46667,Australia
86111,-37.16667,139.76667,Australia
86112,-36.5,148.3,Australia
86113,-36.33333,141.63333,Australia
86114,-35.93333,148.38333,Australia
86115,-35.91667,150.15,Australia
86116,-35.75,136.58333,Australia
86117,-35.56667,144.95,Australia
86118,-35.3,149.2,Australia
86119,-35.28333,138.88333,Australia
86120,-35.16667,147.46667,Australia
86121,-35.08333,150.8,Australia
86122,-34.95,138.51667,Australia
86123,-34.95,150.53333,Australia
86124,-34.93333,117.8,Australia
86125,-34.48333,139.0,Australia
86126,-34.36667,115.13333,Australia
86127,-34.23333,142.08333,Australia
86128,-33.96667,116.13333,Australia
86129,-33.93333,147.23333,Australia
86130,-33.93333,151.16667,Australia
86131,-33.83333,121.88333,Australia
86132,-33.76667,138.21667,Australia
86133,-33.6,150.78333,Australia
86134,-33.43333,149.56667,Australia
86135,-33.1,118.46667,Australia
86136,-33.06667,147.23333,Australia
86137,-32.78333,151.83333,Australia
86138,-32.66667,116.66667,Australia
86139,-32.21667,148.58333,Australia
86140,-32.13333,133.7,Australia
86141,-32.06667,150.93333,Australia
86142,-32.01667,115.5,Australia
86143,-31.98333,141.46667,Australia
86144,-31.93333,115.98333,Australia
86145,-31.9,152.48333,Australia
86146,-31.68333,128.88333,Australia
86147,-31.66667,117.25,Australia
86148,-31.53333,159.08333,Australia
86149,-31.48333,145.83333,Australia
86150,-31.43333,152.91667,Australia
86151,-31.16667,136.81667,Australia
86152,-31.03333,150.26667,Australia
86153,-30.85,128.11667,Australia
86154,-30.78333,121.45,Australia
86155,-30.71667,134.58333,Australia
86156,-30.31667,153.11667,Australia
86157,-30.28333,116.66667,Australia
86158,-29.78333,151.08333,Australia
86159,-29.65,138.06667,Australia
86160,-29.48333,149.85,Australia
86161,-29.43333,142.01667,Australia
86162,-29.43333,153.36667,Australia
86163,-29.03333,167.93333,Australia
