station_ID,num of measurements 1961-2000,lat,lon
15692,120,32.96667,50.36667
15693,120,33.4,49.68333
15697,120,33.48333,48.36667
15703,120,33.78333,55.08333
15707,120,34.13333,46.43333
15713,120,34.45,45.86667
15714,120,34.5,48.0
15717,120,34.71667,46.66667
15722,119,35.2,52.26667
15732,120,35.7,51.33333
15733,120,35.75,51.88333
15735,120,35.78333,51.61667
15736,120,35.88333,47.61667
15737,120,35.91667,50.9
15738,120,36.06667,46.91667
15751,120,36.65,51.5
15755,120,36.76667,45.71667
15758,120,37.06667,58.5
15765,120,37.46667,57.31667
15773,120,38.41667,48.86667
15776,120,38.75,45.66667
15778,120,39.33333,44.43333
15780,120,39.65,47.91667
16089,120,42.45,12.21667
16766,63,49.63333,63.5
16838,120,53.28333,69.38333
17516,120,-13.78333,33.78333
17532,120,1.63333,103.66667
17573,120,6.2,100.4
17587,120,-0.68333,72.98333
17590,120,4.18333,73.51667
18182,120,44.41667,105.31667
18191,120,45.45,103.9
18195,120,45.8,112.7
18245,120,48.66667,118.08333
18254,120,48.91667,106.73333
18269,120,49.63333,100.16667
18282,120,71.5,115.66667
18363,98,-25.05,33.63333
18376,101,-19.11667,32.46667
18711,120,6.58333,3.33333
19212,120,24.46667,56.63333
19223,120,24.9,67.13333
19445,120,-25.71667,-56.6
19472,120,-22.36667,-54.31667
22319,120,24.91667,46.71667
23805,29,13.78333,102.03333
23860,36,16.31667,103.58333
24779,120,25.61667,55.93333
25605,74,20.9,-156.21667
43683,60,65.0,-150.65
43975,120,43.15,64.33333
44039,120,7.58333,-72.06667
44072,120,10.48333,-66.83333
44077,120,10.51667,-71.65
86051,120,-49.35,70.25
86052,17,-25.06667,-130.1
86053,108,-25.06667,-130.1
86054,118,42.36667,19.25
86055,120,42.55,21.91667
86056,120,43.33333,21.9
86057,120,43.7,20.7
86058,120,44.75,21.51667
86059,120,44.8,20.46667
86060,72,-54.83333,-68.31667
86061,120,-51.61667,-69.28333
86062,120,-45.78333,-67.5
86063,120,-40.85,-63.01667
86064,120,-38.95,-68.13333
86065,119,-37.93333,-57.58333
86066,120,-36.56667,-64.26667
86067,120,-34.81667,-58.53333
86068,120,-34.58333,-58.48333
86069,120,-34.56667,-58.41667
86070,120,-34.48333,-58.61667
86071,119,-33.26667,-66.35
86072,120,-32.91667,-60.78333
86073,120,-32.83333,-68.78333
86074,120,-31.78333,-60.48333
86075,120,-31.7,-60.81667
86076,120,-31.4,-68.41667
86077,120,-31.31667,-64.21667
86078,119,-29.38333,-66.81667
86079,120,-28.6,-65.76667
86080,120,-27.76667,-64.3
86081,118,-27.45,-59.05
86082,120,-27.45,-58.76667
86083,120,-27.36667,-55.96667
86084,120,-26.85,-65.1
86085,120,-26.2,-58.23333
86086,120,-24.85,-65.48333
86087,120,-24.38333,-65.08333
86088,120,40.2,44.5
86089,120,40.56667,45.0
86090,119,40.78333,43.83333
86091,120,-68.58333,77.96667
86092,120,-67.6,62.86667
86093,120,-66.28333,110.53333
86094,120,-54.5,158.95
86095,120,-43.48333,147.13333
86096,120,-42.98333,147.08333
86097,120,-42.83333,147.5
86098,119,-41.9,146.66667
86099,120,-41.53333,147.2
86100,36,-41.06667,146.78333
86101,111,-40.98333,148.35
86102,48,-40.68333,144.68333
86103,120,-39.13333,146.41667
86104,110,-38.86667,143.51667
86105,55,-38.43333,141.53333
86106,120,-38.11667,147.13333
86107,120,-37.86667,144.76667
86108,120,-37.75,140.76667
86109,120,-37.68333,144.83333
86110,119,-37.68333,148.46667
86111,120,-37.16667,139.76667
86112,97,-36.5,148.3
86113,120,-36.33333,141.63333
86114,96,-35.93333,148.38333
86115,120,-35.91667,150.15
86116,120,-35.75,136.58333
86117,43,-35.56667,144.95
86118,120,-35.3,149.2
86119,54,-35.28333,138.88333
86120,120,-35.16667,147.46667
86121,119,-35.08333,150.8
86122,120,-34.95,138.51667
86123,2,-34.95,150.53333
86124,120,-34.93333,117.8
86125,52,-34.48333,139.0
86126,120,-34.36667,115.13333
86127,120,-34.23333,142.08333
86128,119,-33.96667,116.13333
86129,120,-33.93333,147.23333
86130,120,-33.93333,151.16667
86131,120,-33.83333,121.88333
86132,30,-33.76667,138.21667
86133,74,-33.6,150.78333
86134,120,-33.43333,149.56667
86135,120,-33.1,118.46667
86136,119,-33.06667,147.23333
86137,120,-32.78333,151.83333
86138,24,-32.66667,116.66667
86139,64,-32.21667,148.58333
86140,120,-32.13333,133.7
86141,120,-32.06667,150.93333
86142,66,-32.01667,115.5
86143,120,-31.98333,141.46667
86144,120,-31.93333,115.98333
86145,105,-31.9,152.48333
86146,119,-31.68333,128.88333
86147,120,-31.66667,117.25
86148,120,-31.53333,159.08333
86149,120,-31.48333,145.83333
86150,119,-31.43333,152.91667
86151,120,-31.16667,136.81667
86152,120,-31.03333,150.26667
86153,64,-30.85,128.11667
86154,120,-30.78333,121.45
86155,39,-30.71667,134.58333
86156,120,-30.31667,153.11667
86157,120,-30.28333,116.66667
86158,111,-29.78333,151.08333
86159,120,-29.65,138.06667
86160,68,-29.48333,149.85
86161,120,-29.43333,142.01667
86162,120,-29.43333,153.36667
86163,120,-29.03333,167.93333
86164,120,-28.8,114.7
86165,44,-28.05,148.58333
86166,117,-28.0,143.81667
86167,120,-27.63333,152.71667
86168,64,-27.56667,135.45
86169,78,-27.38333,153.13333
86170,120,-26.66667,150.18333
86171,120,-26.61667,118.53333
86172,120,-26.41667,146.26667
86173,60,-26.38333,153.03333
86174,111,-25.9,139.35
86175,120,-25.03333,128.3
86176,120,-24.88333,113.66667
86177,94,-23.86667,151.26667
86178,120,-23.8,133.88333
86179,120,-23.43333,144.28333
86180,48,-23.41667,119.8
86181,120,-23.38333,150.48333
86182,120,-22.38333,143.03333
86183,120,-22.23333,114.1
86184,120,-22.23333,118.33333
