station_ID,year,average temperature
1155,1991,15.924999999999999
1155,1992,16.566666666666666
1155,1993,16.224999999999998
1155,1994,17.058333333333334
1155,1995,16.46666666666667
1155,1996,16.14166666666667
1155,1997,16.933333333333334
1155,1998,16.333333333333336
1155,1999,16.475
1155,2000,16.29166666666667
1519,1991,23.224999999999998
1519,1992,23.466666666666665
1519,1993,23.075
1519,1994,23.158333333333335
1519,1995,24.133333333333336
1519,1996,24.33333333333334
1519,1997,24.366666666666664
1519,1998,24.34166666666667
1519,1999,23.474999999999998
1519,2000,23.474999999999998
3022,1991,-9.5
3022,1992,-10.558333333333332
3022,1993,-10.9
3022,1994,-11.916666666666666
3022,1995,-10.791666666666666
3022,1996,-10.058333333333332
3022,1997,-11.299999999999997
3022,1998,-11.033333333333337
3022,1999,-12.066666666666668
3022,2000,-11.058333333333335
5263,1991,12.750000000000002
5263,1992,10.908333333333333
5263,1993,10.375000000000002
5263,1994,12.175000000000002
5263,1995,12.991666666666667
5263,1996,13.674999999999999
5263,1997,12.333333333333334
5263,1998,13.633333333333331
5263,1999,13.683333333333335
5263,2000,13.616666666666665
5293,1991,15.375
5293,1992,14.28333333333333
5293,1993,14.174999999999999
5293,1994,14.950000000000001
5293,1995,16.241666666666664
5293,1996,15.649999999999999
5293,1997,15.191666666666668
5293,1998,16.533333333333335
5293,1999,16.091666666666665
5293,2000,15.991666666666665
5299,1991,13.766666666666666
5299,1992,12.825000000000001
5299,1993,12.725
5299,1994,13.383333333333335
5299,1995,14.808333333333332
5299,1996,13.966666666666669
5299,1997,13.849999999999996
5299,1998,15.0
5299,1999,14.691666666666665
5299,2000,14.641666666666667
5307,1991,12.466666666666667
5307,1992,11.258333333333335
5307,1993,11.174999999999999
5307,1994,12.000000000000002
5307,1995,13.583333333333334
5307,1996,12.641666666666666
5307,1997,12.275
5307,1998,13.566666666666668
5307,1999,13.433333333333332
5307,2000,13.208333333333336
5358,1991,26.34166666666667
5358,1992,26.183333333333334
5358,1993,26.191666666666666
5358,1994,26.34166666666667
5358,1995,26.41666666666667
5358,1996,26.400000000000002
5358,1997,25.924999999999997
5358,1998,26.466666666666665
5358,1999,26.483333333333334
5358,2000,26.25833333333333
5360,1991,25.674999999999997
5360,1992,25.641666666666662
5360,1993,25.608333333333334
5360,1994,25.558333333333334
5360,1995,25.816666666666666
5360,1996,25.983333333333334
5360,1997,25.474999999999998
5360,1998,25.725000000000005
5360,1999,25.941666666666666
5360,2000,25.49166666666667
5363,1991,25.69090909090909
5363,1992,25.899999999999995
5363,1993,25.7
5363,1994,25.950000000000003
5363,1995,26.183333333333334
5363,1996,26.183333333333334
5363,1997,25.516666666666666
5363,1998,26.28333333333333
5363,1999,26.383333333333336
5363,2000,26.10000000000001
5366,1991,25.408333333333335
5366,1992,25.150000000000002
5366,1993,24.73333333333333
5366,1994,25.075000000000003
5366,1995,25.416666666666668
5366,1996,25.349999999999998
5366,1997,24.666666666666668
5366,1998,25.316666666666666
5366,1999,25.358333333333334
5366,2000,24.983333333333334
5373,1991,25.791666666666668
5373,1992,25.75
5373,1993,25.549999999999997
5373,1994,25.88333333333334
5373,1995,26.845454545454547
5373,1996,26.00833333333333
5373,1997,25.525000000000002
5373,1998,26.099999999999998
5373,1999,26.191666666666666
5373,2000,25.874999999999996
5399,1991,24.599999999999998
5399,1992,24.541666666666668
5399,1993,24.316666666666663
5399,1994,25.24166666666667
5399,1995,25.091666666666672
5399,1996,25.216666666666665
5399,1997,24.708333333333332
5399,1998,25.21666666666667
5399,1999,25.650000000000002
5399,2000,24.966666666666665
5824,1991,20.183333333333334
5824,1993,20.400000000000002
5824,1994,20.169999999999998
5824,1995,20.616666666666667
5824,1996,20.06666666666667
5824,1997,20.18
5824,1998,20.69166666666667
5824,1999,20.108333333333338
5824,2000,20.2
6016,1993,27.1
6016,1994,26.733333333333334
6016,1995,25.74545454545455
6016,1996,25.975000000000005
6016,1997,25.9
6016,1998,26.34166666666667
6016,1999,26.049999999999994
6016,2000,26.78
6078,1991,26.89090909090909
6078,1992,27.07
6078,1993,26.96363636363636
6078,1994,26.863636363636363
6078,1995,27.058333333333334
6078,1996,26.8
6078,1997,27.166666666666668
6078,1998,27.79166666666667
6078,1999,27.116666666666664
6078,2000,27.075
6182,1991,27.866666666666664
6182,1992,27.03333333333333
6182,1993,27.75
6182,1994,27.308333333333334
6182,1995,27.16666666666666
6182,1996,27.341666666666658
6182,1997,26.46666666666667
6182,1998,28.24166666666667
6182,1999,27.5
6182,2000,27.541666666666668
6187,1991,28.058333333333337
6187,1992,27.29166666666667
6187,1993,28.075
6187,1994,28.34166666666667
6187,1995,28.350000000000005
6187,1996,28.108333333333334
6187,1997,28.316666666666663
6187,1998,29.125
6187,1999,28.46666666666667
6187,2000,28.083333333333332
6199,1991,23.758333333333336
6199,1992,22.566666666666666
6199,1993,22.900000000000002
6199,1994,23.46666666666667
6199,1995,22.5
6199,1998,23.299999999999997
6199,1999,22.633333333333336
6199,2000,22.66666666666667
6214,1991,25.483333333333334
6214,1992,25.566666666666666
6214,1993,25.508333333333336
6214,1994,25.941666666666666
6214,1995,26.441666666666666
6214,1996,26.058333333333334
6214,1997,25.566666666666666
6214,1998,26.916666666666668
6214,1999,26.499999999999996
6214,2000,25.575000000000003
11456,1991,16.45
11456,1992,15.699999999999998
11456,1993,16.116666666666667
11456,1994,16.525000000000002
11456,1995,15.866666666666667
11456,1996,15.883333333333333
11456,1997,16.133333333333333
11456,1998,17.058333333333334
11456,1999,16.366666666666667
11456,2000,16.183333333333334
