station_id;station_name;latitude;longitude;elevation;lat_uncertainty;long_uncertainty;elev_uncertainty;country
15340;PASURUAN;-7.63333;112.81667;-999;0.00833;0.00833;-9.99999;Indonesia
15343;WADASLINTANG;-7.61667;110.91667;-999;0.00833;0.00833;-9.99999;Indonesia
15344;ISWAHYUDI MADIUN;-7.61667;111.51667;-999;0.00833;0.00833;-9.99999;Indonesia
15345;SELOGIRI;-7.59167;110.46667;-999;0.21667;0.45833;-9.99999;Indonesia
15347;JABON;-7.53333;112.83333;-999;0.00833;0.00833;-9.99999;Indonesia
15349;MOJOSARI;-7.5;112.5;-999;0.08333;0.08333;-9.99999;Indonesia
15350;SENENG MAGELANG;-7.48333;101.23333;-999;0.00833;0.00833;-9.99999;Indonesia
15351;TASIKMALAYA;-7.48333;108.58333;-999;0.00833;0.00833;-9.99999;Indonesia
15352;SEMPOR;-7.48333;109.31667;-999;0.00833;0.00833;-9.99999;Indonesia
15353;BOJONGSARI;-7.41667;109.4;-999;0.00833;0.00833;-9.99999;Indonesia
15354;GETAS;-7.38333;110.43333;-999;0.00833;0.00833;-9.99999;Indonesia
15360;PG.WONOLANGUN;-7.23333;113.2;-999;0.00833;0.00833;-9.99999;Indonesia
15363;SURABAYA-PERAK;-7.21667;112.75;-999;0.00833;0.00833;-9.99999;Indonesia
15364;UNGARAN;-7.11667;110.38333;-999;0.00833;0.00833;-9.99999;Indonesia
15365;BOROBUDUR;-7.10833;110.19167;-999;0.01667;0.18333;-9.99999;Indonesia
15367;NGAMBAK KAPUNG;-7.01667;110.61667;-999;0.00833;0.00833;-9.99999;Indonesia
15368;SEMARANG AHMAD YANI;-6.98333;110.36667;-999;0.00833;0.00833;-9.99999;Indonesia
15369;SEMARANG KLIMAT II;-6.98333;110.38333;-999;0.00833;0.00833;-9.99999;Indonesia
15372;SEMARANG MARITIM;-6.95;110.41667;-999;0.00833;0.00833;-9.99999;Indonesia
15374;GEOFISIKA BANDUNG;-6.91667;107.6;-999;0.00833;0.00833;-9.99999;Indonesia
15377;GAMER PEKALONGAN;-6.88333;109.7;-999;0.00833;0.00833;-9.99999;Indonesia
15379;PAMEKASAN;-6.85;113.48333;-999;0.00833;0.00833;-9.99999;Indonesia
15384;RENDOLE PATI;-6.71667;111.01667;-999;0.00833;0.00833;-9.99999;Indonesia
15386;CITEKO;-6.7;106.93333;-999;0.00833;0.00833;-9.99999;Indonesia
15387;CIREBON JAWA BARAT;-6.68333;108.55;-999;0.00833;0.00833;-9.99999;Indonesia
15388;COLO KUDUS;-6.66667;111.08333;-999;0.00833;0.00833;-9.99999;Indonesia
15392;DARMAGA BOGOR;-6.5;106.75;-999;0.00833;0.00833;-9.99999;Indonesia
15394;CIKUMPAI;-6.46667;107.5;-999;0.00833;0.00833;-9.99999;Indonesia
15395;LAB.PHPTP TEMANGGUNG;-6.43333;110.8;-999;0.00833;0.00833;-9.99999;Indonesia
15396;JATISARI;-6.35;107.5;-999;0.00833;0.00833;-9.99999;Indonesia
15399;STA. KLIMATOLOGI CILEDUG;-6.26667;106.66667;-999;0.00833;0.00833;-9.99999;Indonesia
15400;HALIM PERDANA KUSUMA;-6.26667;106.88333;-999;0.00833;0.00833;-9.99999;Indonesia
15408;CENGKARENG;-6.11667;106.65;-999;0.00833;0.00833;-9.99999;Indonesia
15414;SANGKAPURA - BAWEAN;-5.85;112.63333;-999;0.00833;0.00833;-9.99999;Indonesia
15415;TUAL;-5.68333;132.8;-999;0.00833;0.00833;-9.99999;Indonesia
15418;BETOAMBARI;-5.46667;122.61667;-999;0.00833;0.00833;-9.99999;Indonesia
15420;BRANTI TANJUNG KARANG;-5.25;105.18333;-999;0.00833;0.00833;-9.99999;Indonesia
15422;UJUNG PANDANG(MARITIM);-5.13333;119.4;-999;0.00833;0.00833;-9.99999;Indonesia
15429;BANDANAIRE;-4.58333;129.91667;-999;0.00833;0.00833;-9.99999;Indonesia
15430;TIMIKA;-4.53333;136.86667;-999;0.00833;0.00833;-9.99999;Indonesia
15434;PANAKUKANG;-4.24167;119.24167;-999;0.95;0.25;-9.99999;Indonesia
15435;BELITANG;-4.15;104.65;-999;0.00833;0.00833;-9.99999;Indonesia
15440;P.G. BONE;-3.73333;120.33333;-999;0.00833;0.00833;-9.99999;Indonesia
15445;MUARA ENIM;-3.66667;103.76667;-999;0.00833;0.00833;-9.99999;Indonesia
15446;KAIMANA;-3.63333;133.71667;-999;0.00833;0.00833;-9.99999;Indonesia
15447;BANJAR BARU;-3.45;114.83333;-999;0.00833;0.00833;-9.99999;Indonesia
15450;KAYU AGUNG;-3.38333;104.85;-999;0.00833;0.00833;-9.99999;Indonesia
